time_s,biomass_gDW,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
0.0,2.0005375867705126,11.089938710030989,0.063,18.69206864685775,64.30802237954731,0.03980465656035128,55500.0,0.0013165521183300156,0.01319304793931492,0.0,0.0,0.0,0.015787818004549165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0010739013080907,11.0788744963431,0.063,18.689136514555383,64.30604423343875,0.0795799834517413,55500.0,0.002633504684100575,0.026389552992138125,0.0,0.0,0.0,0.03157978281819837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.001608949578704,11.067807366110646,0.063,18.686203604982044,64.30406556294884,0.11936575477037109,55500.0,0.003950856989740693,0.0395895065176155,0.0,0.0,0.0,0.047375884127865184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.0021427375065577,11.056737326475279,0.063,18.683269920018194,64.30208636934618,0.1591619447295809,55500.0,0.005268608331922261,0.05279289991364378,0.0,0.0,0.0,0.06317611166690554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.002675270974478,11.045664384546223,0.063,18.680335461535666,64.30010665389364,0.19896852765901044,55500.0,0.006586758011534501,0.06599972461659127,0.0,0.0,0.0,0.07898045521478002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.003206555824299,11.034588547400508,0.063,18.677400231397733,64.29812641784822,0.2387854780037672,55500.0,0.007905305333658682,0.07920997210102121,0.0,0.0,0.0,0.09478890459672315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0037365978572406,11.023509822083195,0.063,18.67446423145917,64.29614566246127,0.27861277032360193,55500.0,0.009224249607543115,0.09242363387941752,0.0,0.0,0.0,0.11060144968341568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.004265402834282,11.012428215607603,0.063,18.6715274635663,64.29416438897839,0.31845037929209213,55500.0,0.010543590146578378,0.10564070150191317,0.0,0.0,0.0,0.1264180803906599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,2.004792976476535,11.001343734955537,0.063,18.668589929557072,64.29218259863953,0.35829827969583267,55500.0,0.011863326268272809,0.11886116655602094,0.0,0.0,0.0,0.14223878667905793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2.005319324465608,10.990256387077508,0.063,18.66565163126111,64.29020029267905,0.39815644643363374,55500.0,0.01318345729422824,0.13208502066636668,0.0,0.0,0.0,0.15806355855369272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
