time_s,biomass_gDW,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
0.0,2.0005375867705126,11.089938710030989,0.05441104294478528,18.69206864685775,64.30802237954731,0.03980465656035128,55500.00523254919,0.0013165521183300156,0.01319304793931492,0.0,0.0,0.0,0.015787818004549165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.001049316163576,11.0788744963431,0.04657831756521002,18.68927092615779,64.30613491344936,0.08048294275668427,55500.00918032583,0.0015268513761049949,0.027147761410166785,0.0,0.0,0.0,0.03221901300828079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0015347929408804,11.067807502081136,0.039513038056834045,18.686609345233506,64.3043392932641,0.12202727934162186,55500.01182982996,0.0006547404170723006,0.041829176022188844,0.0,0.0,3.3993058459390125e-05,0.04929039424229451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.001991351485595,11.05673787257368,0.03321440568151499,18.684098995866478,64.30264570057476,0.16253138090264255,55500.01340175252,0.0,0.05587303285271597,0.0,0.0,0.0011323396283351506,0.06651545552527077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0024190394652672,11.04566576788947,0.02766821263705626,18.68174083858429,64.3010547833957,0.20126722639533132,55500.01415515687,0.0,0.06904752920197157,0.0,0.0,0.003529199534722363,0.08340151214363578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0028200067837996,11.034591347831185,0.02284639498017584,18.679524250960874,64.29955937536859,0.23928724322593597,55500.01380489788,0.0,0.08170671077471602,0.0,0.0,0.006840599753565414,0.10060786755156392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.003195881424706,11.023514760309011,0.018707783328286397,18.677441189006686,64.29815404966237,0.27663206610017776,55500.01241371243,0.0,0.09387985177674152,0.0,0.0,0.01101454937857577,0.118116289667143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.003548662351956,11.012436144227378,0.015200070385996188,18.67548142688686,64.29683190747667,0.31335346998566915,55500.01006127614,0.0,0.1056041870131645,0.0,0.0,0.01598503349399081,0.13590369940268582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,2.003880613505802,11.001355627433457,0.012262757299344515,18.673633133583543,64.29558496708368,0.3495114364319773,55500.00683971942,0.0,0.11692280973075306,0.0,0.0,0.021675726756687722,0.15394346059315483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2.0041941399563807,10.990273325251968,0.009830655424993121,18.67188355837618,64.29440462628348,0.3851706639471251,55500.00284829894,0.0,0.12788217237438346,0.0,0.0,0.02800440619810842,0.17220691139123007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,2.0044916641430364,10.979189339704956,0.007837431106815689,18.67021972482142,64.29328213059358,0.42039703340790796,55499.99818800412,0.0,0.13852955606373926,0.0,0.0,0.034887417626761216,0.19066491324458032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,2.004775518060384,10.968103759416023,0.006218732668222284,18.668629043009197,64.29220898630393,0.4552544882770995,55499.99295679977,0.0,0.14891083782218847,0.0,0.0,0.04224361512226481,0.20928921627882058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2.005047861688493,10.957016660110819,0.004914593276543505,18.66709978010265,64.29117727792396,0.4898026355575799,55499.987245970704,0.0,0.1590687743781017,0.0,0.0,0.04999738776119844,0.2280535074931631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,2.005310631270127,10.945928105568628,0.0038709936491962364,18.66562136642632,64.29017987468322,0.524095183692086,55499.98113774499,0.0,0.1690418855116457,0.0,0.0,0.05808062752180284,0.24693409136413894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
